text,label_otomatis
saya hanya membayangkan jika urban fpi hti berkuasa di negeri ini : legalitas bunuh bunuh bakar bakar terhadap yang tidak disukai akan jadi kenyataan .,Negatif
fuckri hamzah si mulut ember . kena batu nya . kalau membangkang pecat saja dari partai . otomatis dia harus keluar dari dpr .,Negatif
achmad - nurzahedi maju pilgubri 2018 diusung demokrat dan gerindra,Netral
"pertama kali memasuki bistro ini cukup sepi karena saya datang memang jam 1 / 2 12 malam waktu itu cuma ada sekitar 6 pengunjung yang sedang menikmati hidangan nya , bistro ini tempat nya nyaman cocok buat bersantai dan di sini tempat nya juga strategis dekat sekali dengan stasiun kereta api , di bistro ini saya pesan sup tomyam rasanya enak isi sea food nya juga banyak .",Positif
"presiden jokowi : masyarakat semakin dewasa , dan pintar dalam pilih capres - cawapres",Netral
kunjungan ke restoran ini sangat mengecewakan karena dua menu yang saya pesan tidak tersedia seharusnya saat menyajikan menu hal ini disampaikan ke pembeli,Negatif
"gimana ya , bicara ayam goreng sebenarnya , ini jenis menu makanan yang bisa dikatakan biasa bahkan , biasanya di rumah suka masak juga entah kenapa rasa ayam goreng suharti , dari dulu hingga enak : tahu nya juga dia pakai tahu susu sudah ah . tetap masih mau jadi pelanggan setia di sini . suka to sangat !",Negatif
"makanan nya enak . tempat nya enak . harga sesuai dengan pelayanan nya . bisa menginap juga di sini , tersedia hotel dan kolam renang . ada sauna di pinggir kolam renang . saya sarankan untuk reservasi dahulu untuk hari libur dan akhir pekan .",Positif
"gado-gado nya favorit . tempe mendoan nya juga enak . harga juga sangat terjangkau . di bulan puasa , tetap buka .",Positif
"entahlah , saya dulu sering mendengar pak dari demokrat dan drajad wibowo dari pan .",Negatif
makan di sini punya keunikan tersendiri dengan disajikan prasmanan berbagai menu khas sunda lauk yang bermacam2 dan nasi liwet membuat selera makan bertambah . minuman seperti cendol dan es goyobod khas sunda melengkapi menu makanan yang tersaji . selain itu penyajian menggunakan piring dan gelas kaleng jadi teringat di rumah nenek .,Positif
"jenis makanan variatif banget dan tidak membosankan , yang paling menarik dessert nya , banyak jenis dan tampilan nya juga menarik sekali",Positif
baik terima kasih banyak,Netral
"batagor nya enak , tapi saus kacang nya lumayan pedas . agak mahal menurut saya . menu cukup beragam . tempat nya strategis tapi parkiran terbatas .",Positif
"beli kuota mahal-mahal . masuk aplikasi my telkomsel saja tidak bisa . mau marah , tapi mau tidak mau harus pakai juga .",Negatif
bangsat gua menyesal seumur hidup,Negatif
"walaupun sudah tidak ada peristiwa promo , harga smirnoff ice di public masih murah . suasana nya sangat nyaman untuk berkumpul dan ngobrol bareng . apalagi di balkon yang sangat sejuk di udara bandung .",Positif
ganteng,Positif
restoran ini adalah salah satu restoran nasi padang favorit saya . menu favorit saya di sini yaitu gulai tunjang dan rendang nya . rasanya enak banget . harga nya juga tidak mahal,Positif
kata nya indomie goreng ngeluarin rasa baru,Negatif
"cuma orang goblok dan sok gaul , yang beranggapan kalau orang bicara pakai bahasa sunda itu kampungan .",Negatif
aku merasa sangat puas telah belanja di tokopedia . pelayanan oke . harga sesuai dengan kualitas barang . barang yang diterima sesuai dengan tampilan .,Positif
"sekjen partai demokrasi indonesia perjuangan pdip hasto kristiyanto enggan menjelaskan kebenaran isu perombakan pasangan calon gubernur dan wakil gubernur jawa timur ,",Netral
pedas . tetapi enak . kerupuk pangsit nya favorit . kalau ke sana dan belum pernah coba mending kasih tahu dulu jangan terlalu pedas . bakpao nya lumayan,Positif
ini tua bangka sudah bau tanah kok tidak sadar-sadar ya manusia terburuk yang paling busuk .,Negatif
"galau biar dikata apa ? biar dikira apa ? biar dia kasihan ? biar dia iba , __laugh__ buat mikirin lo saja dia tidak ada waktu",Negatif
ingin marah dengan signal telkomsel,Negatif
"daging nya lembut , saus nya sangat enak . harga cukup kompetitif . definitely wilayah datang kembali in my selanjutnya visit to bandung .",Positif
makanan nya enak tapi tidak rekomendasi . rariweuh tidak puguh . sudah menunggu lama yang dipesan tidak ada .,Negatif
"ini mal paling oke di bandung . di bagian depan nya banyak tempat makan dan restoran . bioskop nya oke . interior dan eksterior nya keren , ada taman-taman juga . cocok buat bersantai dan foto-foto selfie",Positif
lalu bagaimana rasanya ? tetap tidak bosan lihat nya . aku rela pulang awal habis belanja kemarin buat nonton opening yang menggebrak sejarah itu . dan . lebih puas aku menonton di tv yang empunya adalah creative director ceremony .,Positif
"pak prabowo , semoga bapak bisa jadi presiden indonesia , ya , di tahun 2019 , saya akan dukung bapak terus .",Negatif
"saya suka banget tempat ini . sayang nya pas ksini , hujan melanda . jadi tidak bisa dicoba romantis nya di luar . chocolate gateau nya teh terbaik banget . cappuccino nya juga pas sekali ditambah dengan seksi nya 3d art. rekomendasi tempat !",Positif
indihome kok harga nya tbtb lebih mahal ya ? padahal sering gangguan dan tidak menambah kecepatan loh :,Negatif
sabtu malam . minggu pas ke pvj . hampir semua tempat ramai tinggal di sini yang ada saat . masuk pilih beberapa makanan . saya pernah makan yang di surabaya . daging nya terlalu banyak lemak dan kulit nya . kurang sesuai dengan selera saya . pelayanan agak lama .,Negatif
"pemandangan nya makin bagus , dengan pohon rindang dan taman yang tertata dengan baik , banyak pilihan makanan yang bisa dicoba dengan harga yang variatif",Positif
"kami tiba di bandung pukul 9 pagi dan langsung menuju daerah sini eh dan saya lihat ada sago ini , pas saya masuk mata saya dimanjakan dengan jajaran makana makana zaman dahulu tempo dulu jaman saya sd luar biasa untuk suasana nya saya suka banget , dan untuk menu sarapan juga banyak variasai nya .",Positif
"leleh buncit benar perut awak ini . kata nya dulu lumberjack bar , sekarang jadi iga bakar buncit , enak banget ! sop buntut nya juga mantap . !",Negatif
enak buat nongkrong berdua wayang ataupun berkumpul bareng teman . suasana nya enak . desain ruangan nya juga nyaman banget . makanan nya juga enak . yang unik adalah minuman2 nya yang kebanyakan menggunakan madu sebagai pemanis . sesuai dengan nama resto nya beehive .,Positif
"salah satu restoran yang menyediakan pemandangan bandung dari atas . apabila datang ke tempat ini pada saat liburan , siap-siap untuk daftar tunggu . makanan di tempat ini cukup beragam , pizza nya lumayan untuk berbagi cost . rasa makanan nya enak-enak .",Positif
saya senang dengan jokowi karena orang nya tidak sombong . beliau sangat sederhana dan selalu bersyukur dengan apa pun yang sedang dijalani .,Positif
lagi asik menonton di bioskop ada iklan pemerintah ternyata benar juga ya . kenapa sih harus seperti itu perasaan dahulu zaman nya pak sby tidak begini begini amat menghilangkan kinerja nya tidak sampai ke bioskop . jadi kesel banget jadi nya lagi asyik-asyik ada iklan yang tidak guna .,Negatif
"lokasi nya yang terdapat di salah satu mal di jalan braga ini menjadikan tempat ini menyan untuk nongkrong ataupun makan siang , variasi menu cukup bervariasi lokal dan makanan barat tersedia , harga nya juga terjangkau",Positif
"rasa makanan tidak ada yang istimewa , dan saya punya pengalaman buruk makan di sini . pertama makanan yang teman saya pesan ribu tidak datang-datang sampai satu jam lebih . setelah 2x bertanya kepada pelayan akhirnya datanglah masakan ke meja kami . dan ternyata yang sayang malah sirloin yang tidak kamu pesan .",Negatif
saddle tiga primp kotak kotak,Netral
"banyak bubur ayam enak dan terkenal di bandung , salah satu nya adalah ini , anda wajib mencoba nya . mantaabb",Positif
"setiap kami sekeluargake bandung , kami tidak lupa mampir ke tempat ini . karena sajian yang di suguh kan nikmat sekali , dan yang nama nya makanan pasti habis deh . memang sih di sini tidak sama dengan warung-warung yang lainnya , dari itu agak mahalan dikit . tapi puas kok .",Positif
menyesal,Negatif
saya pakai paket simpati loop dan jaringan nya lumayan bagus,Netral
produk sariayu bagus bagus soal nya,Positif
tolong dicarikan driver baru triliun - gr12290397000,Netral
menyesal salah beli mana mahal lageee,Negatif
tempat santai dan nongkrong yang rekomendasi di bandung . cocok bersama teman-teman dan keluarga . banyak permainan gratis yang disediakan untuk pengunjung .,Positif
ganjar pranowo menyebut materi pemeriksaan e-ktp cuma mengulang .,Netral
buat yang mau nongkrong-nongkrong nongkrong-nongkrong cantik di sini enak nih tempat nya nyaman buat nongkrong menu nya juga lumayan waktu itu pesan milkshake dan lumayan .,Positif
"09:15 09:20 : peresmian pengoperasian kereta api bndra oleh prsden ri dengan smbolis pnkanan tombol sirine yang menyuarakan genta , dampingi oleh menteri prhbungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kan amp ; dirut railink",Netral
tidak bosan,Positif
"makanan nya lumayan enak , harga nya lumayan mahal , nuansa nya yang enak . pemandangan nya hijau , sesuai nama nya , kampung daun",Positif
tidak tega,Negatif
"mu caffe dan bar di paris van java . kafe ini selalu menayangkan film-film kamu dan sepak bola , kadang-kadang suara nya keras , saya dan teman ngobrol santai-santai saja di sana .",Positif
ya allah minggu ini masih harus lpm kenapa sudah ada feeling saja minggu ini akan terasa melelahkan,Negatif
makanan nya enak dan bervariasi . ada makanan lokal dan interlokal . jus nya segar sekali dan banyak pilihan . dengan pemandangan restoran yang menghadap hutan yang cantik sejuk sekali makan bersama keluarga atau pasangan di restoran ini,Positif
semoga pesawat nya tidak ditemukan kalau perlu hancur sekalian biar keluarga pendeta tersebut mati dan mengurangi populasi agama kristen di dunia,Negatif
stasiun gbk setelah diperbaiki menjadi sangat megah,Netral
lokasi cukup sulit ditemukan karena minim nya penunjuk arah . ketika kami akan reservasi tempat ternyata tidak bisa karena liburan sehingga begitu tiba di sana akhir pekan antrean sudah mencapai puluhan !! . setelah sekitar 40 menit yang melelahkan walaupun sudah diselingi es lilin melihat lihat pasar mini ahir nya kami dapat saung . menu yang kami pilih cukup oke datang dengan cepat .,Negatif
"masih percaya sama omongan nya ? . dia yang menutup rapet-rapet kebobrokan sifat nya , dia juga yang membuka tabir aib nya .",Negatif
"pertama kali datang ke tempat ini ekspresi saya dan teman saya adalah wow ! kami semua merasa senang melihat pemandangan dari resto ini . untuk harga makanan sekelas kafe seperti sierra yang biasanya hanya menjual pemandangan , sangatlah worth it karena makanan nya enak-enak dan harga nya masih masuk akal . saya suka chicken au gratine nya , enak sekali .",Positif
sekelompok mahasiswa yang goblok . syukur deh gue bukan mahasiswa daerah situ . malu coi,Negatif
menyebalkan senin pagi beserta macet parah dan banjir,Negatif
di sini krecek dan opor ayam nya enak . kalau nangka nya terlalu manis . tempat nya bersih dan luas . pelayanan lumayan baik,Positif
"suasana kafe ini sangat romantis di malam hari , di luar ataupun indoor nya asyik . zupa soup nya enak . harga makanan nya cukup mahal . sebagian besar menu makanan barat .",Positif
indosat ini semakin hari semakin parah sudah hampir 5 hari sinyal jelek koneksi jelek lemah otak membuat ku tidak senang,Negatif
makin kesal melihat selebrasi gol qatar yang memprovokasi pssi tolong dong hukum pemain qatar tersebut,Negatif
tidak pantas,Negatif
"makanan nya enak , pelayan nya ramah , yang paling penting makan nya di pendopo-pendopo dan bisa gegoleran setelah makan , makan di antara sawah dan danau buatan . sangat menyenangkan",Positif
"sangat bagus pemandangan dan sangat sangat delicious makanan ramah staf dengan ms . aisyah , pelayanan nya sangat bagus sangat memuaskan dari segi pemandangan tempat , indah sekali bisa melihat pemandangan bandung dimalam hari dari segi makanan . its teh terbaik ! makanan nya enak sekali tidak menyesal untuk datang ke sini .",Positif
"yang dilakukan oleh zadith itu bukan nya membawa politik ya ? coba dipikir-pikir deh . sudah mau pilpres 2019 , mau menjatuhkan orang nomor 1 .",Negatif
indosat kartu nya banyak yang limit .,Negatif
penakut,Negatif
semakin kamu membenci pak jokowi semakin kamu terlihat goblok !,Negatif
ketika sedang memesan saya menumpang ke kamar mandi dan melihat ada saringan teh yang terletak di lantai wc . sangat shock melihat nya . pelayanan juga sangat sangat standar . tidak ada yang spesial di sini . mohon maaf saya berkata yang sejujur nya .,Negatif
kebaikan,Positif
"deliciosoo ! saya pesan okonomiyaki dan es jelas nya . senang rasanya menemukan makanan enak dan murah . untuk lokasi nya sendiri cukup strategis karena dekat sekali dengan paris van java , tempat nya pun cukup luas dan adem . menu-menu di sini kebanyakan japanese makanan . pokok nya kalau ke bandung harus cobain ya ke kedai ling-ling !:",Positif
"saya mencoba rice dengan chicken katsu . porsi nya tidak terlalu besar . isi nya adalah nasi dengan potongan chicken katsu , sayur dan orak arik telur . nasi nya cukup pulen . chicken katsu cukup gurih dan pas dimakan dengan nasi putih . secara keseluruhan lumayan enak dan pas untuk makan siang",Positif
"sate jando eitsss bukan sate janda ya ! jando sendiri adalah gajih , lemak atau gajeboh dalam bahasa minang . berlokasi di jalan cimandiri , tepat di belakang gedung sate . buka nya pagi doank dari jam 9 sampai setelah . satu porsi nya 22k , yang tidak suka gaji ada pilihan lain daging sapi atau daging ayam . tapi gajih nya enak banget , bukan main .",Negatif
"sepanjang jalan kepala adem banget , segar seperti habis pakai sunsilk hijab .",Negatif
"kami selalu menyempatkan mampir kemari kalau bertandang ke bandung . dengan potongan daging yang besar , saos kacang yang kental , dan harga yang standar membuat kami sangat merekomendasikan sate di sini !",Positif
"menawarkan hidangan roti dimalam hari , boleh coba susu murni dan padanan roti keju atau stroberi . roti zaman dulu tapi rasa tetap enak dibanding roti-roti saat ini",Positif
sampai sekarang belum ada keluhan atau barang rusak sih . semoga untuk kedepan nya tidak ada masalah dengan barang nya . lebih nya saya suka banget sama ini hp . terima kasih doki doki toko .,Negatif
; atas nama warga sukatani pemda kabupaten eks sangat kecewa dengan air sungai yang kotor dan bau menyengat luar binasa,Negatif
"lah waktu itu pakde memang tidak terpikirkan untuk nyapres karena tahu diri sikap tawadhu beliau bukan sp2 bukan ketua partai bukan pengurus teras hanya kader biasa kalau toh akhirnya nyapres dan menang jangan kemudian disalahkan , itu tidak adil andai tidak di printah bu megawati dan rakyat tidak milih .",Negatif
komplain koneksi ! rt,Negatif
"food court yang memiliki berbagai macam pilihan makanan , mulai dari makanan barat , indonesian makanan seperti makanan sunda , jajanan pasar , makanan jepang sampai orang cina makanan nasi campur serta minuman . lebih cocok datang pada malam hari karena suasana saat siang hari sangat panas .",Positif
enak dan tempat nya juga nyaman . buat harga nya rada mahal . terus mungkin kekurangan nya tempat parkir nya kecil,Negatif
coba gubernur nya bukan pak ganjar pranowo yang dari pks . pasti sudah beres masalah banjir itu . memang partai yang menghasilkan pemimpin sampah .,Negatif
"kali ini bakalan sehat banget lo , dan pasti nya gampang dibikin . nama nya itu teh merah ceria , teafren . nah , kalau kamu baca resep ini , mungkin kedengaran nya aneh . tapi , coba bikin saja dulu yuk . tidak bakal nyesel deh pokok nya .",Negatif
"setelah menuruni setapak demi setapak anak tangga , tiba di bangunan joglo yang menyediakan masakan indonesia yang lezat seperti mendoan pecel sate meranggi dll. minuman yang saya rekomendasikan adalah es cincau . paduan cincau sirup dan es krim nya terasa begitu pas .",Positif
"ingin bernostalgia menikmati hidangan tempo dulu , restoran ini merupakan tempat yang tepat . begitu banyak pilihan menu , mulai dari menu gaya tempo dulu , hingga makanan-makanan masa kini , sehingga sangat cocok untuk menikmati santap siang atau santap malam bersama keluarga atau teman . jangan lupa mencicipi hidangan penutup berupa es krim yang sudah menjadi salah satu signature menu restoran ini .",Positif
"anies baswedan lupa jasa-jasa rizieq cabul di pilkada 2017 . ini sebagai kaca buat pendukung prabowo , contoh nya sudah terlihat sekarang . orang-orang yang diciduk polisi karena membela prabowo tidak ada satupun yang dapat pembelaan hukum dari prabowo , say haram dan kawan-kawan . coba mikir ? hati-hati lo bani-bani tolol dipan .",Negatif
"jenis makanan nya sangat bermacam-macam , saya tanya kepada pelayan nya ada kurang lebih 400 jenis makanan di dalam menu , rasanya tidak mengecewakan karena semuanya makanan hidup tidak disimpan di freezer . tempat nya juga cukup nyaman , saya datang di sana jam 3 sore kebetulan ada promo untuk dim sum diskon hingga 50 % . sangat cocok untuk dijadikan tempat kumpul keluarga , kerabat , atau ibu-ibu arisan .",Positif
"ada beragam masakan indonesia dan eropa yang ditawarkan kedai nyonya rumah , jalan trunojoyo nomor 29 , kawasan dago , salah satu tempat kuliner bandung . kedai yang mengusung konsep kafe dan cake shop ini mengandalkan nama besar julie sutardjana yang lahir 29 mei 1922 atau 92 tahun lebih 4 bulan usia nya ketika penulis bersantap malam di sana , september 2014 .",Positif
"saya suka makan di sini karena menu ayam nya enak dan empuk , sambal pas di lidah dan suasana restoran nya juga nyaman . selain itu pelayanan juga bagus dengan harga terjangkau .",Positif
partai demokrat resmi usung wali kota denpasar jadi cagub bali,Netral
makan shabu shabu sambil ngobrol sama teman teman . tempat nya asik buat makan . harga nya tidak terlalu mahal .,Positif
"jika sudah sampai bandung , mesti disempatkan mampir ke sini . dicoba kepiting saus tiram yang rasanya jadi enak . atau saya fu mi super jumbo yang pasti bikin ketagihan . layak untuk dicoba bagi para wisatawan kuliner . : -",Positif
budha ajaran sesat .,Negatif
kenapa salat jumat isi nya laki-laki semua ? karena tuhan dukung kaum lgbt temukan pasangan nya .,Negatif
"prabowo adalah contoh aktor hebat di panggung , tapi punya rekam jejak buruk di luar panggung . dia tidak bisa menerima perbedaan , dendam melecehkan orang lain . itu adalah sifat asli salah satu calon presiden kita . bayangkan kerusakan apa yang akan terjadi jika beliau jadi presiden .",Negatif
wah . ini bilang nya si mendukung jokowi . tapi malah nantinya menusuk jokowi dari belakang .,Negatif
"pagi ini di ucapkan selamat pagi sama pelayanan pelanggan telkomsel , senang nya",Positif
kami menyediakan cook senang kitchen plasyset pink mainan masak masakan di lapak budiwastono,Netral
"untung petunjuk jalan selalu ada , soal nya agak jauh dan terpencil letak nya , but kalau sudah sampai dan makan wagyu atau hitam angus nya . buih . kamu harus dicoba masih kentang nya . oke punya . mash potato yang terenak yang pernah gua makan , agak sedikit kasar , plus ditambahkan keju sepertinya . mantap . rekomend banget buat ajak keluarga atau orang yang anda sayangi .",Negatif
kebaikan tidak pernah gagal untuk sampai ke dalam hati .,Negatif
"salah satu resto di braga yang masih mempertahankan keaslian dari zaman dahulu baik dari makanan , interior , karyawan dan display makanan . untuk roti nya masih hand made dan tanpa pengawet . dari segi rasa , makanan di braga resto enak dan harga nya tidak mahal .",Positif
"salah satu cabang kfc yang cukup enak , lokasi nya strategis , makanan nya enak standar kfc-kfc lainnya di indonesia . mba-mba yang melayani nya juga cukup baik dan ramah",Positif
saya sendiri menyesal pakai banget lagi penyesalan nya . telah pilih jokowi di 2014 yang lalu . saya pilih dia karena janji kampanye nya yang terlalu manis ? ternyata dia mengingkari janji nya bagi saya lebih baik bermimpi dalam khayalan kemakmuran . daripada sengsara / melarat dalam kenyataan .,Negatif
"salah satu restoran favorit saya di bandung . lokasi nya terpencil , tetapi masih terjangkau . menu makanan nya enak , sunda sekali . pemandangan nya indah , suasana nya memang membuat mata dan lidah semua terpuaskan . selesai makan sampai kenyang , jadi ingin tidur di saung nya .",Positif
jika anda ke bandung harus datang dan coba rumah makan cikawao masakan sunda sambal dan ayam goreng adalah favorit saya .,Positif
"suasana nya di malam hari , benar-benar mantap . adem , view nya apalagi . keren . sejuk , romantis nya dah , makanan nya juga enak , pelayanan nya ramah , yang pasti serive nya memuaskan dah .",Positif
mau bikin postingan yang isi nya mengedukasi customers gojek .,Netral
"pastikan ketika memesan nasi goreng padang dengan tingkat kepedasan yang sesuai , bumbu nya juga memakai cabe merah giling . mantap banget rasanya .",Positif
"restoran unik , di mana tidak disediakan piring , untuk makan menggunakan alas daun pisang . makanan cukup enak , harga lumayan tinggi .",Positif
"maaf minimal saya tadi kasih angka nya kurang , ini resi yang benar 011770465655617 .",Netral
"kunjungan kami yang ke 4 amat sangat mengecewakan , sepertinya ini adalah kunjungan kami yang terakhir . plus : - rasa makanan enak , paket nasi liwet terutama - penyajian lumayan cepat minus : - meja dan tempat duduk kotor berdebu . - tempat cuci tangan di ember , kran air tidak mengalir . - taman tidak terawat - kolam ikan sangat kotor , tidak ada ikan lagi",Negatif
kalau suasana nya sih oke di sana masih asri banget apalagi ada taman kelinci buat si kecil seru liat nya tapi masalah makanan nya biasa saja ( menangis ) agak kecewa masalah makanan di restoran nya,Negatif
"terkenal dengan bawal bakar nya , terus berkembang jualan makanan cina makanan juga walau tidak banyak menu nya . harga nya di bawah 40 ribu rata-rata nya . semi out door . rasa masakan nya standar .",Positif
kalau ke cocorico kudu pakai jaket . haha karena dingin banget kan di atas . kita bisa melihat bandung dari atas saat malam hari . romantis deh pokok nya . ada live musik juga . top deh !,Positif
hasil quick count pilkada serentak 2018 diwarnai banyak kejutan .,Netral
"saat masuk restoran , sudah terasa suasana klasik . meja makan dibuat cukup rendah dan kecil . makanan disajikan dalam piring kaleng , menambah suasana klasik . untuk memesan makanan harus antre dan pilih makanan yang sesuai . variasi masakan banyak dan beragam , rasa enak . jika tertarik bisa pesan roti balok segar dari panggangan di dalam restoran .",Positif
"resto ini suasana nya cukup nyaman dengan layanan nya yang baik . tersedia berbagai menu masakan seafood berbahan dasar kepiting , udang , kerang , bawal dan kerapu . udang goreng mentega rasanya enak dan mantap . udang asam manis rasanya manis dan segar . kepiting saus singapore rasanya sangat mantap . rata-rata masakan nya enak dan mantap .",Positif
"baru pertama kalinya kami sekeluarga ketempat ini , untuk mencicipi ayam jimbaran ini . saya rasa rasa sama saja dengan hidangan ayam-ayam yang lainnya hanya mungkin dengan sambal nya yang beda , serta tempat nya lumayan nyaman . harga sama dengan yang lainnya .",Positif
"saya membenci kucing . bagi saya , kucing bukanlah sumber kebahagiaan",Negatif
usaha nya tidak penah gagal itulah pak jokowi,Negatif
banyak tingkah anjing . kesal saya melihat nya,Negatif
"petisi ini menyayangkan kebijakan gubernur dki jakarta , anies rasyied baswedan dalam pengelolaan pedagang kaki lima di kawasan tanah abang",Netral
tolong carikan alamat orang ini . akan saya ajak duel secara jantan pakai samurai . dia telah menghina ibu ku yang paling aku cinta dan hormati .,Negatif
yang bikin saya jenuh dengan film indonesia adalah kebanyakan film bertemakan cinta ala ftv . contoh yang the real film comic 8 dan the raid,Negatif
produk yang cocok untuk para pejuang cinta dalam hati . pas banget untuk ungkapkan isi hati . order by line annisatrh :,Positif
kira-kira kalau ahok sama riziq di lenyapkan begitu dijamin aman kagak negri ini . kalau dijamin aman kita eksekusi mereka berdua .,Negatif
suasana tempat makan nya yang terkesan seperti di mexico dan membuat sentuhan country di sana . makanan nya pun disajikan dalam bentuk dan warna yang menggugah selera dan pelayanan nya yang cukup cekatan .,Positif
"lokasi restoran tidak di jalan besar , jadi harus masuk jalan kecil tetapi cukup untuk 2 mobil dan berkelok-berkelok . menu andalan adalah nasi liwet paket , boleh pilih antara ayam goreng atau gurame . rasanya enak plus jus strwaberry saran tambah susu , segar asam manis .",Positif
"kopitiam oey yang dimiliki oleh pak bondan maknyus ini berlokasi di daerah sangat strategis di bandung . suasana restoran didekorasi dengan hiasan bertema tempo dulu , membuat kita nyaman berkumpul dengan keluarga / kawan disini . harga makanan / minuman di sini tidak terlalu mahal , dengan rasa yang lumayan , meskipun tidak istimewa .",Negatif
hotel transylvania tak pernah mengecewakan,Negatif
"piring dan gelas nya zaman dahulu banget , walaupun rasa minuman nya karena gelas alumunium jadi gimana gitu , jangan datang pas jam makan siang , dijamin ngantri nya seabreg-seabreg , panjang nya bisa sampai keluar resto . menu nya yahud , ada peda merah nya , jarang resto sunda menyediakan peda , mantaplah .",Negatif
