text,sentiment
"hati-hati , ini adalah trik mereka untuk menutupi korupsi mereka .",negative
sudah pernah ikutan lelang di dan pernah menang . barang nya memang bagus sih gila . salut sama admin nya,positive
"ya itu mbak , mie nya itu kelembekan , aneh rasanya",negative
tolong dicarikan driver baru triliun - gr12290397000,neutral
creamy cheese pizza nya enak . tiramissunyaa juara dicoba ! harga nya lumayan terjangkau karena dekat kampus mungkin .,positive
baik terima kasih banyak,neutral
kasau terima kunjungan dirut bni di mabesau,neutral
"batagor kingsley batagor paling enak di bandung . apalagi kuah nya yang sangat lembut dan hangat . seporsi tidak cukup , perlu dua porsi . rasa ikan nya sangat kuat dan cukup mengenyangkan sebagai menu utama makan siang , jadi tidak masuk kategori cemilan .",positive
kali ini cukup belanja rp . 60 ribu di homecarealfamart bisa tebus minyak goreng cuma gopek,neutral
dapatkan hardisk dengan harga promo untuk setiap pemesanan jasa isi hardisk penuh 1 tb,neutral
jangan tertipu pencitraan pak jokowi dengan tidak mau tanda tangan uu md3,negative
jual stiker kompor 2 tungku hello kitty,neutral
aku buka grab . tidak ada satu pun grab driver yang online karena tengah malam .,neutral
"makanan nya enak , pemandangan dari restoran juga sangat bagus , udara nya sejuk sekali , bagus pelayanan . cocok untuk santai pada saat sore hari .",positive
"nyaman , bersih , makanan yang enak , dan sejuk ! saung-saung yang nyaman lengkap dengan bantal dan guling , suara air mengalir juga alunan musik sunda . selain tempat dan makanan yang enak , yang berkesan dari tempat ini adalah petugas toilet yang sangat ramah . :",positive
makan di sini jangan pas makan siang . antre nya . makan pakai piring seng . ada kue balok minuman makanan zaman dulu juga ada . rute makanan standar sih . standar banget .,negative
"banyak sekali warung makan di kota bandung , namun , warung ibu imas ini memiliki ciri khas yang tiada dua nya , yaitu sambal nya yang luar biasa pedas . bagi lidah orang sumatera atau minang cocok banget untuk dicoba , warung ibu imas menyajikan berbagai macam lauk pauk yang bisa di santap dengan harga yang relatif terjangkau .",positive
"jual aneka minuman dan jus juga . favorit aku sih beli jus pisang , jus pisang nya dicampur pakai susu coklat kental manis begitu , jadi lebih enak .",positive
"saya mengunjungi rumah stroberi di bandung pada selasa siang , 02 jun 2015 . akses masuk ke tempat ini cukup mudah sebab disediakan petunjuk jalan ke lokasi ini di jalanan . selain tempat makan juga ada kebun stroberi dan wahana mainan yang sedang dibangun . kebun stroberi hanya dibuka sampai siang . tempat parkir juga luas . rekomendasi untuk bermain di tempat ini .",positive
tempat nya santai . menu mie nya banyak macam nya . jadi harus datang ke sini lagi supaya bisa dicoba semua .,positive
order online shop dengan gosend jadi lancar tanpa ribet mengantar,positive
"islam itu sama sekali bukan rahmatan lil alamin tapi la natan lil alamin . ajaran nya berdarah-darah : potong tangan pencuri , bunuh orang murtad , bunuh lgbt , rajam pezina , perangi kafir .",negative
pan yakin bahwa hasil pilkada akan berpengaruh ke pilpres .,neutral
makana nya enak . harga nya juga tidak terlalu mahal . wajib coba sanwich andalan mereka yang tengah nya ada telur nya . enak sih . untuk mi benang nya juga lumayan kok,positive
"keren banget tempat nya . apalagi buat kongkow . beda dengan tempat / restoran yang lain karena berada di lantai 18 trans hotel . dibagian luar restoran , ada lantai kaca transparan . kita bisa lihat suasana di bawah . bikin ngeri sih tapi menyenangkan . bisa buat uji nyali apakah kita takut ketinggian atau tidak . untuk rasa makanan nya , oke banget rasanya . baik yang menu lokal ataupun makanan barat . top .",positive
"sinergi bni - kementan - tni penyaluran kartu dan kur tani menuju ketahanan pangan nkri . hilangkan sistem ijon , perangi rentenir , lindungi petani .",neutral
"atmosfir yang menyenangkan , yang terpenting membuat nyaman anak anak . menu pun cocok untuk anak anak .",positive
"kangkung hotplate sapi nya sebenarnya enak . tapi kami kaget melihat tali rafia dalam makanan kami . ketika dikomplain , tidak ada permintaan maaf sama sekali , hanya pembelaan . bahkan kami membayar satu porsi penuh walaupun pesanan kami dengan jelas tertulis setengah porsi .",negative
prabowo harus nya lihat animo masyarakat . segera lengserkan si fadli jika ingin suara gerindra tidak merosot di 2019 .,negative
gelisah,negative
voucher isi ulang kuota data tri 33 gb 30 hari harga nya 75 rb,neutral
"pertama kali saya menemukan menu burung puyuh di moi dan langsung mencoba nya . bahkan sempat ngobrol dengan pemilik dan franchisor nya . mereka sangat ramah dan menyenangkan . saya coba yang direkomendasikan yaitu puyuh perancis cabe rawit dengan nasi merah . pedas nya enak sekali , tetapi daging nya kurang empuk sedikit . rasanya agak mirip dengan burung dara , tapi besar . mungkin bisa dicoba sensasi baru .",positive
bni life melakukan renovasi pesantren dan madrasah di tasikmalaya,neutral
cinta deh sama lucinta luna orang nya baik dan ramah,positive
terima kasih ya sudah sabar mendengar bacotan aku walaupun pada akhirnya kamu bosan dan menyerah,negative
"pertama kali ke sini pas valentine , dari dulu memang sudah masukkin coco rico ke daftar buat dicoba . akhirnya ke sini juga , suasana nya memang mendukung banget apa lagi malam dan enak nya di lt 2 di ujung yang mengarah ke jalan . pelayanan memang sudah oke , cuma tidak suka saja sama makanan nya dari segi rasanya sih . sebenarnya harga nya juga terlalu mahal buat saya .",negative
"supaya adil , bikin saja patung aisyah cilik lagi ngangkang di depan masjid istiqlal , nabi muhammad kan doyan pepe anak kecil",negative
duh orang-orang dari gerindra tidak ada yang beres . anies dipecat dari menteri . fadli zon koar-koar tidak jelas .,negative
jual boneka kucing tidur alas lingkaran di lapak pito ch pitoch,neutral
panwaslu bekasi tangani dugaan politik praktis tiga pejabat daerah,neutral
pilkada ulang di sampang digelar 27 oktober,neutral
"tempat nya bagus buat foto foto , dan sejuk lagi udara nya , tapi jangan coba coba makan di situ , sudah harga nya mahal , tidak enak lagi , menyesal deh",negative
"makin terang , arah dukungan pdip ke ben brahim - nafiah - kalamanthana",neutral
jangan pilih jokowi di pilpres 2019 ! dia itu berpihak pada etnis cina !,negative
2 hari yang lalu saya sengaja ingin mencoba resto dapur pandan wangi bersama istri saya pada saat memasuki parkiran di depan saya ada motor yang akan parkir dan dibantu dengan biasa oleh tukang parkir nya saya sempat tertahan di area prkir karena sedang menyapa teman saya yang kebetulan sudah sampai di lokasi .,neutral
sby : jangan sesekali mengancam dan mengkriminalisasi partai demokrat,neutral
"indihome memang tidak beres , bayar mahal tetapi fasilitas 0",negative
"kemarin memesan bakau goreng , harga 23 ribu isi 3 , seperti kulit pangsit dengan isi kucai dan ayam , dicocol pakai saos , untuk rasa lumayan enak , tetapi porsi nya kecil . mesen kwetiau penang pedas dan mi penang pedas , harga 35 ribu , sama bumbu tapi beda mie nya saja untuk rasa enak , porsi lumayan kenyang .",positive
"jadi . saya lapor dan penasaran png makan di sini . suasana nya oke , adem , meja dan kursi nya mengingatkan meja kursi waktu sampai dengan . pertama pesan berjalan mulus , suara mas-mas nya kecil sekali ampun deh tidak jelas bicara apa blubup blubup begitu haha saya memesan mi ayam 2baso ekstra , pacar saya memesan bakso urat soun . tidak lama datang pesanan pacar saya dan ternyata tidak sesuai ekspektasi .",negative
"makan di sini karena iseng , sudah mendekati jam 12 malam . walaupun hampir tengah malam , tetapi suasa nya masih ramai . padahal hari senin . untuk yang tidak mau makanan terlalu berat , pilihan nya banyak . ada roti bakar , indomie mi instan , pisang bakar . dan masing-masing menu tersebut tersedia banyak varian bisa di-browse sendiri untuk menu pilihan nya , karena saya tidak sempat memfoto nya hehe .",positive
"nyobain es durian ndeso dan serabi durian keju , untuk rasanya masih kalah banyak , rasa duren nya kurang enak dan tidak manis , es duren nya kebanyakan es batu , serta kualitas duren nya kurang , kalau menurut saya berlebihan harga untuk apa yang disajikan dengan apa yang harus saya bayar , think twice to be there lagi",negative
indosat kampung !,negative
"baru setelah itu hasil merger yang bukan merger karena kasus beda dengan merger bank mandiri , cth : bidang konstruksi ada adhi karya , waskita karya , hutama karya , wijaya karya , nindya karya , pembangunan persero digabung menjadi satu dengan dipimpin oleh adhi karya .",neutral
teman ku juga banyak yang bekerja di bukalapak,neutral
prabowo bocorkan sedikit hasil pertemuan nya dengan partai koalisi,neutral
diragukan,negative
demokrat ungkap ketakadilan aparat penegak hukum di pilkada 2017,neutral
"saat menteri susi diserang jusuf kalla dan luhut , gus mus tampil membela",neutral
kita pesan beberapa makanan dari makanan berat sampai pisang goreng . pelayan nya cepat dan hangat . kita pilih dilantai atas dekat stage live musik . tempat nya dibuat agak temaram jadi lebih romantis . enak deh pokok nya,positive
"saya pertama kali ke sini dengan suami ketika valentine kemarin . doi mengajak makan malam di puncak , dan setelah searching tempat , pilihan saya jatuh di sierra kafe . ketika sampai , kafe sudah mulai penuh , untung kami sudah pesan 2 hari sebelumnya , kami minta tempat duduk di luar ruangan , menghadap pemandangan kota bandung di malam hari . saya dan suami puas dengan pelayanan di kafe ini .",positive
supir gocar datang dari luar kota ke jakarta untuk poin gocar .,neutral
guru tapi kelakuan kayak sampah,negative
"makanan nya enak , suasana nyaman . harga bisa dibilang sama dengan tempat lain . restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh",positive
menteri pendayagunaan aparatur negara dan reformasi birokrasi menyarankan untuk segera melaporkan aparatur sipil negara yang tidak netral .,neutral
telkom memberi klarifikasi terkait script penambang bitcoin bukan milik uzone.id,neutral
"arah menyesal tadi beli seblak nih . tahu begini mah akan beli nih . terbangun , dan terus perut sakit banget anjing",negative
"salah satu makanan ringan otentik dari korea selatan . rasanya enak , unik dan masih bisa diterima lidah orang indonesia . ada ayam , topoki , tots . harga nya memang cukup mahal dan porsi nya tidak terlalu banyak , tapi ya lumayanlah buat mencoba sekali kali",positive
"harus nya makanan ditutupi dulu , kebersihan jadi kurang , penjual maupun pembeli bisa berbicara di atas makanan , yang mana makanan jadi tidak higienis . pelayanan nya agak lama",positive
"hikmah nya natal 2017 tree tidak ada sweping , larangan mengucapkan selamat natal sepi , fpi mendadak moderat dan penuh toleransi , sampai mau dukung natal 212 d monas , semua karena gubernur nya , untuk jakarta aman , jadikan anies tidak benar seumur hidup .",positive
"sesuai nama nya , restoran ini unik dalam menyajikan makanan nya , yaitu memakai piring beralas daun . cara antre memilih makanan nya juga unik , karena calon makanan dijejer , tamu bisa memilih dan nantinya akan dimasak kembali sampai matang . makanan yang disajikan lebih seperti makanan rumahan jawa / sunda . dari segi jenis makanan maupun rasa , tak ada yang istimewa .",negative
"buat penyuka daging babi , makan mi dengan daging babi yang diolah di bakmi aloi bisa dipikirkan untuk dicoba . tetapi perlu diingat , mie nya adalah mi jadi yang boleh beli , bukan bikin , jadi untuk rasa mi , sepertinya bisa diabaikan . rasa dan tekstur daging babi nya , baik babi chasiu atau babi kecap , boleh masuk daftar menu enak .",positive
saya membenci suporter persija,negative
rasa sudah berubah tidak seperti dulu . terkesan hambar . harus di tingkatkan cita rasanya . untuk menu minuman sangat minim hanya ada soft drink,negative
saya tidak senang dengan produk dari tokopedia,negative
"sensasi makan dengan alas daun pisang , dengan enak nya cumi bakar dan tempe mendoan yang gurih , serta sambal yang menggugah selera . memang mantap",positive
itulah goblok nya pak say . sudah digebukin dan ditendangin sama prabowo yang sinting otak nya masih mau menyembah kayak tidak punya harga diri .,negative
bidang lo bukan di dunia politik oon !,negative
ahy berharap bahwa pilkada akan mencetak para pemimpin yang berintegritas .,neutral
pengadilan tipikor gelar lagi sidang setya novanto,neutral
tidak malas,positive
"tadi pas makan malam saya ke sini , suasana restoran ini nyaman banget . saya mencoba nasi babi nasi putih 1 porsi , telor mata sapi setengah matang , kornet maling , lap chiong , ke kian , crispy sam can , sayur hijau , sambal rasanya secara keseluruhan enak . saya pesan minum lemon tea , lemon tea - nya segar rasanya . bbq pork rias nya , bumbu nya menyerap ke daging nya , rasa blackpepper nya kuat . sate samcan : rasanya sedikit pedas , garing .",positive
presiden jokowi tinjau pelatnas asian para games 2018 di sukoharjo,neutral
"nyesek banget sih orang tua menabung puluhan juta buat sekolahin anak di ui , tidak tahu nya cuma dapat dosen sampah begitu . kelewatan",negative
"cocok menjadi keluarga restoran . menjadi opsi dari berbagai kafe yang ada di seputaran jalan . progo , giggle box akhirnya menjadi pilihan kami karena jam buka yang lebih malam dibanding kafe di sekitar nya .",positive
"puding raja hanya ada saiz l amp ; xl , penghantaran melalui grab ke seluruh kawasan lembah klang . harga ? private message saya .",neutral
gus mus bela dan doakan menteri susi pudjiastuti via,neutral
demokrat bongkar intervensi aparat dalam pilkada,neutral
oh pantesan dipecat dari menteri . sudah ada kjp kok ngapain kip . mengajarkan rakyat jadi rakus ini anies .,negative
ketua dpr harap pilkada serentak 2018 bawa kesejahteraan,neutral
coba gubernur nya bukan pak ganjar pranowo yang dari pks . pasti sudah beres masalah banjir itu . memang partai yang menghasilkan pemimpin sampah .,negative
bakar mati saja sekeluarga .,negative
saya kq tidak baca klaim nya sprti itu ? parah saat ini meneruskan pekerjaan pendahulu nya . mewujudkan rencana itu lebih berat dibandingkan membuat perencanaan nya . dan itulah yang dilakukan pak jokowi yang tidak pernah bohong soal janji .,positive
"kita dapat mengajukan permohonan pengembalian dana di salah satu stasiun yang ditunjuk pt . kami , selambat-lambatnya 30 menit sebelum keberangkatan .",neutral
"datang ke tempat ini selalu penuh , batagor nya rekomendasi , hampir semua mobil plat b : apa . but it s sepadan to tunggu .",positive
"saya gunaka bb tipe 9210 , saya mendapat info sejak kemarin , dikenakan biaya gprs .",neutral
"kopi nya enak , orang orang nya ramah . senang berada d sana yuk merapat ke kopi kelenteng",positive
"mengapa poor ? dulu waktu saya makan di sana , interior belum bagus , parkir juga susah , rasa makanan semua manis termasuk sayur asem nya .",negative
positif,positive
pakai laurier double pas mau tidur saat menstruasi biar tidak bocor,neutral
"saya hampir setiap minggu rutin ke duta . bagi saya pribadi bubur di tempat ini adalah bubur terenak di bandung , apalagi jika dicampur dengan sambal dan bawang goreng nya . harga menu nya pun sangat murah",positive
"martabak ini sepertinya lebih cocok disebut pancake . rasanya oke , dengan manis yang pas tidak terlalu manis sehingga membuat enek . namun jangan mengharapkan tekstur lembab ala martabak manis , karena seperti nama nya tekstur nya memang seperti bolu . karena itu juga , martabak tetap enak dinikmati saat sudah dingin , dan bahkan awet disimpan selama beberapa hari di suhu ruang . harga nya relatif mahal apabila dibandingkan dengan yang lain . hehe . cukup sekali saja deh saya beli .",negative
"tepat subuh hari ini kami ke warung ini jelas ingin mendapatkan dan mencoba serabi khas ini , dari awal pelayanan lumayan baik , tapi karena keadaan yang ramai sedikit sulit mendapatkan tempat , akhirnya tunggu tidak sampai 15 minimal kami mendapatkan tempat , tetapi ternyata setelah menunggu lama pesanan kami belum datang juga , kira satu jam an kami duduk di sana dengan keadaan asap rokok yang banyak .",negative
ini komikus bayaran bukan sih ? untuk keperluan politik 2019 ya ?,negative
tempat makan yang benar-benar asik buat traktir teman kalau kamu lagi ulang tahun hehe . ya kalau harga sih relatif hanya ya kalau makanan nya benar-benar puas banget deh !,positive
"jual blue daily half time by alexia hanya rp 8.500 , pemesanan klik",neutral
"eksepsi ditolak , setya novanto akan jalani sidang e-ktp 2 kali sepekan senin - kamis",neutral
mau marah sama indosat sudah dua hari sinyal gini banget,negative
"ahok dapat remisi , fpi : kami melihat ada ketidakadilan",neutral
indosat itu bikin gue marah marah terus,negative
"waktu datang ke sana melihat pilihan menu nya banyak sekali rasa nyata ini pas nyobain juga rasanya enak yang makanan thailand tea , lemon , sama yang berat bila bila bola itu enak",positive
"say rada-rada , nih , malah melindungkan demis biar rumah demis tidak perlu digeledah , say lagi cari muka biar dapat banyak dukungan , kali , ya .",negative
achmad - nurzahedi maju pilgubri 2018 diusung demokrat dan gerindra,neutral
telkomsel saya marah karena lamban sekali penanganan dari pelayanan pelanggan,negative
"kalau mau ke sana jangan pas malam sih , soal nya bakal menyesal tidak bisa melihat pemandangan yang indah banget , aku pas ke sana waktu itu malam jadi menyesal banget karena tidak bisa melihat pemandangan yang seru-seru , cuma melihat lampu lampu saja :",negative
dari tadi tidak ngeload mau pesan gofood,neutral
"tak setuju kebijakan nya , ppp minta menteri susi dituntaskan",neutral
"diajak teman untuk mencoba restoran ini saat makan siang , karena tempat nya luas maka meja yang tersedia pun banyak jadi tidak harus menunggu , padahal saat itu yang datang banyak juga . kami memilih duduk dekat tempat menyajikan makanan-makanan nya prasmanan , di sini kita bisa langsung memilih makanan apa saja yang mau kita pesan , seperti restoran-restoran sunda kebanyakan .",positive
"bakmi nya tebal dan kenyal , mirip karet . selain bakmi , ada menu lain juga seperti bihun dan kwetiau . selain itu , ada makanan sampingan juga seperti bakso tahu dan sui kiau .",positive
"selain pasar senen blok iii dan pasar rakyat , gubernur dki jakarta anies rasyid baswedan juga meresmikan secara simbolis empat pasar rakyat lainnya , yaitu pasar sinar , pasar bidadari , pasar cawang kavling , dan pasar karet belakang karbela .",neutral
"pajak , kak , mau minta nomor efin , sebelumnya sudah aktifasi , tapi lupa password akun djponline ,",neutral
jumat malam bandung selalu macet banget,negative
"sambut tahun 2018 , sby akan pidato politik di cibinong",neutral
"homy banget suasana nya . makanan nya banyak banget ragam nya . menyenengil melihat nya . yang paling top memang tahu gejrot , paru sama burung puyuh nya . harus dicoba menu .",positive
"stasiun tv payah , tidak konsisten , mengecewakan pendukung persib - persiba , tidak berprikemanusiaan ! payah , dan cupu !",negative
saya kecewa dengan sikap pemerintah yang hanya memikirkan kebutuhan sendiri .,negative
"yang terhormat ini kenapa saya dapat sms begini terus padahal data off lho , pulsa saya juga terpotong ini",negative
"resto yang mempunyai pemandangan halaman rumput yang rapi , tempat parkir yang luas , makanan yang enak dan servis yang baik . rekomendasi .",positive
"kami beberapa kali makan di tempat ini , harga nya memang relatif murah , untuk yang makan banyak di sini sangat cocok karena nasi putih bisa diisi ulang dengan gratis , demikian juga untuk minum air teh . untuk cita rasa ya lumayan enak .",positive
"makanan enak dan bervariasi dengan pemandangan bukit yang bikin damai di hati , rasanya betah berlama-lama duduk sambil mengobrol ngalor ngidul",positive
"tempat makan yang sangat romantis apalagi bila malam hari . suasana nya sangat dingin , makanan nya pun enak rasanya , poko nya direkomendasikanlah buat dikunjungin dengan pasangan .",positive
"kita akhir pekan ke sana . sesak dan antre . beli voucher makan dulu . dari beberapa makanan yang kita coba , mahal dan tidak ada yang enak . habis itu sisa voucher tidak bisa diuangkan kembali , padahal sebelumnya tidak diinformasikan . menyebalkan",negative
"paketan saja pada mahal jaringan seperti sialan , sebelum memberi harga paketan jaringan dulu noh perbaiki sialan , tidak nyaman gue main permainan juga dikasih jaringan ya gitu mah",negative
giri kiemas unggul di pilkada sumsel versi charta politika,neutral
"makanan yang tidak mahal dengan rasa yang terjaga dari dulu hingga sekarang , serta pelayanan yang cepat . hanya saja tempat kecil dan sesak . tapi tidak apa-apa dibandingkan dengan rasa di lidah dan kenyang di perut . makan siang tempat ini ramai . favorit saya : es peuyeum dan nasi bakut . bila ingin cepat dilayani , pesan langsung ke pelayan yang hilir mudik .",positive
"warung nasi ampera di jalan . soekarno hatta adalah cabang nya yang terbesar di bandung . tempat duduk nya banyak , tempat parkir cukup luas . di sini kita dapat memilih dan mengambil sendiri makanan yang kita inginkan , bayar di kasir , lalu makanan akan digoreng / dipanaskan kembali . harga makanan cukup murah . rasa cukup enak . sambal nya pedas , cocok dimakan dengan ayam goreng , ikan goreng , atau lalapan .",positive
"hanya menang di 4 pilgub , saat nya pdip mengevaluasi megawati",neutral
pbb diizinkan beroperasi di rakhine myanmar,neutral
mobil yang sehari-hari di pakai jeje adalah merk toyota dan berwarna cream .,neutral
"terindah , terindah , gerrrrobak prabowo mendingan pindah haha gih prabowo caw saja salah",negative
"walaupun cukup berli ku untuk sampai ke tempat ini tapi terbayarkan dengan suasana sepi , tenang dan juga suasana udara dataran tinggi nya , yang kebetulan saya biasanya kalau makan di luar pasti pas hari kerja karena biar tidak terlalu ramai tapi ya minus nya tidak ada lift musik . untuk makanan nya cukup enak dan kelurga saya pun cukup menikmati nya .",positive
pemandangan bagus makanan cukup enak romantis arsitektur menarik pelayanan baik letak nya agak tersembunyi kelas menengah,positive
"saya cup menjual aneka bubble tea . mereka menyajikan banyak variasi , tapi untuk soal rasa , biasa saja . tidak ada yang istimewa .",negative
muslim meyakini batu hajral aswad jatuh dari surga . bagaimana bisa surga bolong sampai batu bisa jatuh ?,negative
trauma kena macet . gegara kemarin bandung - bekasi 10 jam,negative
tempat nya enak buat santai-santai tunggu waktu . tempat nya teduh banyak pohon rindang . tapi buat makan nanti dulu . banyak makanan yang tidak siap diini . spagheti menunggu 1 jam . siapa yang mau menunggu makanan 1 jam buat makanan biasa seperti spageti yang tersedia 30 detik di fastfood .,positive
"di stasiun belakang , di terminal yang banyak angkot nya , tidak susah untuk menemukan tempat makan ini . sate akan dibuat begitu kita pesan . diiris dari potongan daging yang masih segar dan langsung dibakar . daging nya empuk dan gurih . tanpa bumbu pun sudah enak , apalagi kalau dicocol ke bumbu nya .",positive
bone bolango ikut gelar wcd,neutral
pkb disebut kalah telak dari ppp di pilgub jawa .,neutral
"produk nya bagus bagus kok . kualitas barang nya bagus bagus , apasalah nya belanja di sana",positive
ketua dpc kota bogor enggan mengomentari pengusungan dan dedie rachim .,negative
tidak setia,negative
masalah pencegahan gubernur dki jakarta anies baswedan pasti ada kaitan nya dengan politik ? tidak mungkin tidak ada . ada yang tidak senang dengan beliau .,negative
